trade_date,momentum,lowvol,size,liquidity,growth,quality,value
2020-01-02,,,-0.12191663502035648,,,,
2020-01-03,,,-0.16865910661847622,,,,
2020-01-06,,,-0.17204781054626575,,,,
2020-01-07,,,-0.19917521773290844,,,,
2020-01-08,,,-0.22403387682293574,,,,
2020-01-09,,,-0.2328683449805229,,,,
2020-01-10,,,-0.18648711716991734,,,,
2020-01-13,,,-0.17925849297192595,,,,
2020-01-14,,,-0.19228634538221673,,,,
2020-01-15,,,-0.17244443584376587,0.23658028199522865,,,
2020-01-16,,,-0.1268657551202488,0.2925590401206565,,,
2020-01-17,,,-0.11359091062291178,0.28886484455536277,,,
2020-01-20,,,-0.09694525279528927,0.22124724438180504,,,
2020-01-21,,,-0.09836448376269724,0.2517396763089307,,,
2020-01-22,,,-0.10719374303542714,0.08513478043963267,,,
2020-01-23,,,-0.08427084422475747,0.18146018142842546,,,
2020-02-03,,,-0.04682648593312521,0.22730778553790235,,,
2020-02-04,,,0.1422760111865313,0.1960530368796146,,,
2020-02-05,,,0.14905770382148056,0.12068233329946308,,,
2020-02-06,,,0.22521146876127865,0.04408448523825631,,,
2020-02-07,,,0.24889218336974125,-0.09132845210002119,,,
2020-02-10,,,0.20268174831303573,-0.046275858368314306,,,
2020-02-11,,,0.2603899189663257,-0.032234790753641974,,,
2020-02-12,,,0.26598428012314473,-0.10344661884015521,,,
2020-02-13,,,0.2704526030318486,-0.1306644975712611,,,
2020-02-14,,,0.3310003789029366,-0.20592040486235422,,,
2020-02-17,,,0.3067062043130591,-0.2497097176492046,,,
2020-02-18,,,0.2734164096919269,-0.3232918465409373,,,
2020-02-19,,,0.2864960486803704,-0.2407510718281328,,,
2020-02-20,,,0.30162671474136177,-0.25421979870853556,,,
2020-02-21,,,0.31427986954041626,-0.3283772054905907,,,
2020-02-24,,,0.30456529791255627,-0.4127800788266016,,,
2020-02-25,,,0.318553073049309,-0.4435900941400845,,,
2020-02-26,,,0.27619444993053,-0.3516773526659345,,,
2020-02-27,,,0.2706736788187629,-0.3859420629252829,,,
2020-02-28,,,0.27816410503375916,-0.36368003287522677,,,
2020-03-02,,,0.2486000517014067,-0.41216234924278655,,,
2020-03-03,,,0.2382424798172072,-0.4328609226637403,,,
2020-03-04,,,0.2033067420534702,-0.37203942622736197,,,
2020-03-05,,,0.18961405263277098,-0.36408071718270535,,,
2020-03-06,,,0.13446741637998857,-0.3181131668593622,,,
2020-03-09,,,0.13610551677511298,-0.2303944757144978,,,
2020-03-10,,,0.1546127888060285,-0.2863079453725086,,,
2020-03-11,,,0.08530264857295583,-0.33197352098734567,,,
2020-03-12,,,0.08466644579552239,-0.34166574599696864,,,
2020-03-13,,,0.08476813028837928,-0.29759936319112607,,,
2020-03-16,,,0.00418072203079481,-0.19633722660338157,,,
2020-03-17,,,0.0038306621311116323,-0.1864679251925495,,,
2020-03-18,,,-0.042572779256597824,-0.18112651283839454,,,
2020-03-19,,,-0.06333137809763728,-0.22174644179132355,,,
2020-03-20,,,-0.07166199966100478,-0.18698317606374856,,,
2020-03-23,,,-0.10066410623819279,-0.07915708178172114,,,
2020-03-24,,,-0.10342526945849867,-0.11687417953695,,,
2020-03-25,,,-0.10920927904695425,-0.17121398377610236,,,
2020-03-26,,,-0.13912443485872286,-0.1724778267957314,,,
2020-03-27,,,-0.22075593064624183,-0.15385867683402002,,,
2020-03-30,,,-0.2294681385266841,-0.1164157021035308,,,
2020-03-31,,,-0.2305892759017227,-0.03572198917422932,,,
2020-04-01,,,-0.2232933976998545,0.031991026825973136,,,
2020-04-02,,,-0.22421005396469637,-0.028125812992349224,,,
2020-04-03,,,-0.2344153829831014,-0.0022331688459997054,,,
2020-04-07,,,-0.2347378852578883,-0.05112034604479202,,,
2020-04-08,,,-0.2794512362985804,-0.04035626584968296,,,
2020-04-09,,,-0.2726081305364534,-0.0434624766819236,,,
2020-04-10,,,-0.24875909950692923,0.03371765342787008,,,
2020-04-13,,,-0.23464318080457433,0.07722425846643348,,,
2020-04-14,,,-0.2289786994220758,-0.008009287416973664,,,
2020-04-15,,,-0.19737531122249627,0.02628251636625756,,,
