lambda,rebalance_date,signal_date,period_end,stock_code,stock_name,weight,composite_score,active_factors,factor_weights,state_conditioned_icir,factor_states
0.7,2020-07-01,2020-06-30,2020-07-31,SZ002604,龙力退,0.04999999999994057,3.20849439879793,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""size"": ""Bear"", ""value"": """", ""liquidity"": ""Bear"", ""momentum"": """"}"
0.7,2020-07-01,2020-06-30,2020-07-31,SZ300090,盛运退,0.04999999999995087,2.4540886740969574,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""size"": ""Bear"", ""value"": """", ""liquidity"": ""Bear"", ""momentum"": """"}"
0.7,2020-07-01,2020-06-30,2020-07-31,SZ002509,天茂退,0.04999999999995629,2.353002160145002,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""size"": ""Bear"", ""value"": """", ""liquidity"": ""Bear"", ""momentum"": """"}"
0.7,2020-07-01,2020-06-30,2020-07-31,SZ300431,暴风退,0.04999999999995645,2.3270342707308656,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""size"": ""Bear"", ""value"": """", ""liquidity"": ""Bear"", ""momentum"": """"}"
0.7,2020-07-01,2020-06-30,2020-07-31,SH600634,退市富控,0.04999999999995916,2.180384904380279,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""size"": ""Bear"", ""value"": """", ""liquidity"": ""Bear"", ""momentum"": """"}"
0.7,2020-07-01,2020-06-30,2020-07-31,SZ002356,赫美集团,0.04999999999996053,1.9598494601112488,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""size"": ""Bear"", ""value"": """", ""liquidity"": ""Bear"", ""momentum"": """"}"
0.7,2020-07-01,2020-06-30,2020-07-31,SH600671,天目药业,0.0499999999999571,1.929472422390972,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""size"": ""Bear"", ""value"": """", ""liquidity"": ""Bear"", ""momentum"": """"}"
0.7,2020-07-01,2020-06-30,2020-07-31,SZ000890,法尔胜,0.049999999999959285,1.8885230490274405,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""size"": ""Bear"", ""value"": """", ""liquidity"": ""Bear"", ""momentum"": """"}"
0.7,2020-07-01,2020-06-30,2020-07-31,SZ000835,长动退,0.049999999999962325,1.8712005863474905,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""size"": ""Bear"", ""value"": """", ""liquidity"": ""Bear"", ""momentum"": """"}"
0.7,2020-07-01,2020-06-30,2020-07-31,SH600306,退市商城,0.04999999999996118,1.838244365949206,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""size"": ""Bear"", ""value"": """", ""liquidity"": ""Bear"", ""momentum"": """"}"
0.7,2020-07-01,2020-06-30,2020-07-31,SZ002072,凯瑞德,0.04999999999995938,1.7741959452890623,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""size"": ""Bear"", ""value"": """", ""liquidity"": ""Bear"", ""momentum"": """"}"
0.7,2020-07-01,2020-06-30,2020-07-31,SH600385,退市金泰,0.04999999999996334,1.7593258488874635,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""size"": ""Bear"", ""value"": """", ""liquidity"": ""Bear"", ""momentum"": """"}"
0.7,2020-07-01,2020-06-30,2020-07-31,SH600241,时代万恒,0.049999999999962956,1.737257419502681,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""size"": ""Bear"", ""value"": """", ""liquidity"": ""Bear"", ""momentum"": """"}"
0.7,2020-07-01,2020-06-30,2020-07-31,SH600462,退市九有,0.049999999999962436,1.7132113193867566,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""size"": ""Bear"", ""value"": """", ""liquidity"": ""Bear"", ""momentum"": """"}"
0.7,2020-07-01,2020-06-30,2020-07-31,SZ002052,同洲电子,0.049999999999963775,1.679757564764301,size,"{""size"": 1.0}","{""size"": 0.020986584202572798}","{""size"": ""Bear"", ""value"": """", ""liquidity"": ""Bear"", ""momentum"": """"}"
